Name,MLBAMID
Merrill Kelly,518876
Albert Suarez,544150
Michael Kelly,547184
Brooks Raley,548384
David Buchanan,571527
Miles Mikolas,571945
Hoby Milner,571948
Jon Singleton,572138
Burch Smith,572143
Brian Moran,572383
Caleb Thielbar,573204
Mike Yastrzemski,573262
Yusei Kikuchi,579328
Jason Adam,592094
Cam Booser,592155
Dylan Covey,592229
Niko Goodrum,592348
Zack Weiss,592848
Ben Lively,594902
Nick Burdi,595897
John Curtiss,595928
Jakob Junis,596001
Austin Slater,596103
Garrett Stubbs,596117
Thyago Vieira,600986
Nick Pivetta,601713
Yonathan Daza,602074
Ramon Urias,602104
Justin Anderson,605121
Scott Barlow,605130
John Brebbia,605154
Colten Brewer,605155
Victor Caratini,605170
Clay Holmes,605280
Jack Lopez,605346
Vimael Machin,605353
Nick Martini,605361
Yacksel Rios,605441
Jordan Romano,605447
Tayler Scott,605463
Jeffrey Springs,605488
Zach Thompson,605507
Spencer Turnbull,605513
Brandon Woodruff,605540
Harold Castro,605612
Giovanny Gallegos,606149
Yefry Ramirez,606162
Joel Payamps,606303
Eric Haase,606992
Kyle Hart,606996
Jordan Weems,607179
Erick Fedde,607200
Joey Krehbiel,607216
Beau Taylor,607333
Anthony Banda,607455
Aaron Bummer,607481
Kyle Freeland,607536
John Means,607644
Andrew Vasquez,607755
Max Fried,608331
Chris Okey,608360
Tomoyuki Sugano,608372
Dietrich Enns,608650
Joey Meneses,608841
Miguel Andujar,609280
Angelo Castellano,613546
Franchy Cordero,614173
Jose Ruiz,614179
Cal Quantrill,615698
Jacob Robson,615699
Luis Torrens,620443
Jose Castillo,620454
Richie Martin,621006
Alex De Goti,621008
Jose Cuas,621016
Kevin Newman,621028
Steven Wilson,621051
Tyler Ferguson,621053
Justin Garza,621057
Jacob Waguespack,621097
Walker Buehler,621111
Ryan Burr,621114
Brooks Kriske,621139
Jose Alvarado,621237
A.J. Minter,621345
Colin Poche,621363
Tanner Banks,621383
Brady Feigl,621399
Tyrone Taylor,621438
Edwin Rios,621458
Taylor Ward,621493
Tomas Nido,621512
Zach Remillard,621545
Alex Young,622065
Yency Almonte,622075
Tejay Antone,622088
Drew Smith,622098
Josh Sborz,622250
Josh Staumont,622251
Dillon Tate,622253
Patrick Weigel,622256
Donovan Walton,622268
Luis F. Castillo,622379
Nabil Crismatt,622503
Seranthony Dominguez,622554
Pablo Reyes,622569
Miguel Diaz,622766
Angel Perdomo,622780
Jesus Tinoco,622786
Andrew Velazquez,623205
Huascar Brazoban,623211
Thomas Pannone,623381
Nick Anderson,623433
Justin Topa,623437
Evan Phillips,623465
Jimmy Herget,623474
Josh Lester,623507
David Bote,623520
Anthony Santander,623993
Ranger Suarez,624133
Pete Alonso,624413
Cavan Biggio,624415
Jose Trevino,624431
Nick Gordon,624503
Keegan Thompson,624522
Riley Unroe,624523
Edmundo Sosa,624641
Victor Gonzalez,624647
Erick Mejia,625510
Andy Ibanez,628451
Jake Cronenworth,630105
Wil Crowe,640444
Kyle Finnegan,640448
Hunter Harvey,640451
Matt Krook,640454
Óscar Mercado,640458
Brian Navarreto,640459
A.J. Puk,640462
Adbert Alzolay,640470
Jose Azocar,640492
Jhonny Pereda,640902
Pablo Lopez,641154
Tyler Alexander,641302
Shaun Anderson,641312
Bryan Baker,641329
Jake Bauers,641343
Phil Bickford,641360
Ben Bowden,641386
Connor Brogdon,641401
Alan Busenitz,641427
Nestor Cortes,641482
Jason Delay,641511
Dane Dunning,641540
J.C. Escarra,641555
Bernardo Flores Jr.,641576
Matt Foster,641582
Jake Fraley,641584
J.P. France,641585
Luis Guillorme,641645
Ian Hamilton,641656
Thomas Hatch,641672
Dakota Hudson,641712
Rob Kaminsky,641739
Brad Keller,641745
Tyler Kinley,641755
Eric Lauer,641778
Charles Leblanc,641779
Zack Littell,641793
Tim Locastro,641796
Tyler Mahle,641816
Tim Mayza,641835
Patrick Murphy,641907
Bailey Ober,641927
Tyler O’Neill,641933
Emilio Pagan,641941
Joshua Palacios,641943
Daniel Robert,642016
Chuckie Robinson,642020
Tayler Saucedo,642048
Gabe Speier,642100
Cole Sulser,642121
Matt Thaiss,642136
Lou Trivino,642152
Jamie Westbrook,642197
Eli White,642201
Devin Williams,642207
Weston Wilson,642215
Allan Winans,642216
Ryan Yarbrough,642232
Jose Siri,642350
Gregory Soto,642397
Jonathan Loaisiga,642528
Jonathan Hernandez,642546
Freddy Peralta,642547
Gerson Moreno,642575
Felix Bautista,642585
Dennis Santana,642701
Amed Rosario,642708
Willy Adames,642715
Sergio Alcantara,642727
Thairo Estrada,642731
Austin Wynns,642851
Mauricio Dubon,643289
Justin Dunn,643290
Kevin Herget,643361
Griffin Jax,643377
Isiah Kiner-Falefa,643396
Mark Leiter Jr.,643410
Jeff McNeil,643446
Austin Pruitt,643493
Tyler Rogers,643511
Chadwick Tromp,644433
Sandy Alcantara,645261
Victor Robles,645302
Ali Sanchez,645305
Jose Herrera,645444
Mike Ford,645801
Rafael Devers,646240
Jhonathan Diaz,646242
Josh Naylor,647304
Zach Pop,647315
Michael Soroka,647336
Abraham Toro,647351
Luis Urias,649966
Luis Arraez,650333
Eloy Jimenez,650391
Willi Castro,650489
Yandy Diaz,650490
Bryan Abreu,650556
Bryan De La Cruz,650559
Meibrys Viloria,650619
Michael King,650633
Aaron Civale,650644
Jose Quijada,650671
Luis Rengifo,650859
Genesis Cabrera,650893
Diego Castillo,650895
Rene Pinto,650907
Cristopher Sanchez,650911
Daniel Duarte,650960
Yohel Pozo,650968
Andruw Monasterio,655316
Manuel Rodriguez,655889
Carlos Perez,656024
Albert Abreu,656061
Riley Adams,656180
Jalen Beeks,656222
Brandon Bielak,656232
Jake Bird,656234
Scott Blewett,656240
Sean Bouchard,656248
J.B. Bukauskas,656266
Brock Burke,656271
Griffin Canning,656288
Dylan Cease,656302
Michael Chavis,656308
Austin Davis,656354
Isan Diaz,656371
Tommy Doyle,656382
Drew Ellis,656403
Alex Faedo,656412
Stuart Fairchild,656413
Jack Flaherty,656427
Tyler Gilbert,656457
Lucas Gilbreath,656458
Kevin Ginkel,656464
Tristan Gray,656484
Sam Hentges,656529
Derek Hill,656537
Sam Hilliard,656541
Rhys Hoskins,656555
Tanner Houck,656557
Alex Jackson,656577
Connor Joe,656582
Mitch Keller,656605
Mark Kolozsvary,656627
Michael Kopech,656629
Alex Lange,656638
Jacob Latz,656641
Brock Lundquist,656668
Jordan Luplow,656669
Josh Maciejewski,656671
Corbin Martin,656686
Zach McKinstry,656716
Trevor Megill,656730
Tylor Megill,656731
Bryce Montes De Oca,656755
Jordan Montgomery,656756
Cedric Mullins,656775
Parker Mushinski,656786
Ryan O’Hearn,656811
Luis F. Ortiz,656814
Connor Overton,656818
Nicholas Padilla,656820
Michael Petersen,656848
David Peterson,656849
Drew Rasmussen,656876
Jakson Reetz,656883
Sean Reid-Foley,656887
Emmanuel Rivera,656896
Jared Robinson,656904
Ryder Ryan,656924
Tanner Scott,656945
Pavin Smith,656976
Peter Solomon,656981
Bennett Sousa,656986
Justin Steele,657006
Trey Supak,657022
Lane Thomas,657041
Ryan Thompson,657044
Touki Toussaint,657053
Alex Verdugo,657077
Forrest Wall,657088
Jacob Webb,657097
Evan White,657108
Connor Wong,657136
Kyle Wright,657140
Eddy Alvarez,657193
Julian Merryweather,657240
Brian O’Keefe,657247
Glenn Otto,657248
Peter Strzelecki,657265
Logan Webb,657277
Clarke Schmidt,657376
Matt Gage,657424
Brennan Bernardino,657514
Paul DeJong,657557
Caleb Ferguson,657571
Reed Garrett,657585
Tim Hill,657612
Jared Koenig,657649
Ramon Laureano,657656
Antonio Nunez,657701
Michael Papierski,657709
Joe Ryan,657746
Connor Seabold,657756
Gavin Sheets,657757
Eric Stout,657770
Adonis Medina,658431
Junior Fernandez,658551
Pedro Avila,658648
Shohei Ohtani,660271
Enoli Paredes,660600
Ronaldo Hernandez,660613
Huascar Ynoa,660623
Yonny Hernandez,660634
Diego Castillo,660636
Vidal Brujan,660644
Ronald Acuna Jr.,660670
Keibert Ruiz,660688
Elvin Rodriguez,660730
Jose Suarez,660761
Juan Yepez,660766
Yerry De los Santos,660787
Brusdar Graterol,660813
Jesus Sanchez,660821
Eduard Bazardo,660825
Hoy Park,660829
Leo Rivas,660844
Enyel De Los Santos,660853
Jorge Alcala,660896
Francisco Perez,660906
Adrian Martinez,661309
Oliver Ortega,661383
William Contreras,661388
Jhoan Duran,661395
Emmanuel Clase,661403
Brian Serven,661531
Luis Gil,661563
Daulton Varsho,662139
Andres Munoz,662253
Robert Suarez,663158
Nick Hernandez,663321
Jahmai Jones,663330
Matt Waldron,663362
Blake Perkins,663368
Ryan Feltner,663372
Thomas Szapucki,663378
Trent Thornton,663423
Tanner Rainey,663432
Davis Martin,663436
Konnor Pilkington,663455
Lars Nootbaar,663457
Kris Bubic,663460
Isaiah Campbell,663462
Kolby Allard,663465
Cole Sands,663485
Ben Leeper,663510
Tristin English,663536
Nico Hoerner,663538
Bryan Hudson,663542
Sean Hjelle,663546
Casey Mize,663554
Shane McClanahan,663556
Jovani Moran,663558
Bailey Falter,663559
Noah Davis,663562
Stephen Kolek,663568
Tony Santillan,663574
Hayden Senger,663584
Austin Riley,663586
Brandon Lockridge,663604
Luken Baker,663609
Nick Madrigal,663611
Trevor Larnach,663616
Jake Irvin,663623
Ryan Mountcastle,663624
Ethan Small,663629
Ke’Bryan Hayes,663647
Kyle Tucker,663656
Thaddeus Ward,663658
Daz Cameron,663662
Nic Enright,663671
Hogan Harris,663687
Jonathan India,663697
Joey Bart,663698
James McArthur,663704
Matthew Kroon,663714
Cal Raleigh,663728
Connor Kaiser,663731
