Name,MLBAMID
Riley O’Brien,676617
Tyreque Reed,676627
Bligh Madris,676632
Max Lazar,676661
JP Sears,676664
Luis Vazquez,676679
Tom Cosgrove,676680
Will Vest,676684
Jake Meyers,676694
Alan Trejo,676701
Hunter Stratton,676702
Kutter Crawford,676710
Brandon Hughes,676714
Tommy Romero,676720
Jared Young,676724
Isaac Mattson,676755
Korry Howell,676759
Ron Marinaccio,676760
Irving Lopez,676761
Keaton Winn,676775
Chas McCormick,676801
Carson McCusker,676812
Kodi Whitley,676831
Aaron Ashby,676879
Chandler Seagle,676882
Davis Schneider,676914
Cade Cavalli,676917
Matthew Batten,676946
Caleb Boushley,676961
Ben Brown,676962
Brett de Geus,676969
Max Meyer,676974
Garrett Crochet,676979
Heston Kjerstad,677008
Josh Walker,677020
Andrew Nardi,677053
Clayton Andrews,677076
Zack Kelly,677161
Kyren Paris,677347
Wander Franco,677551
Kristian Robinson,677565
Aaron Bracho,677570
Brayan Rocchio,677587
Jose Tena,677588
Everson Pereira,677592
Julio Rodriguez,677594
Ronny Mauricio,677595
Eddy Diaz,677647
Ezequiel Duran,677649
Luis Garcia,677651
Wilyer Abreu,677800
Justin Bruihl,677865
Leo Jimenez,677870
Jordyn Adams,677941
Blaze Alexander,677942
Will Banfield,677943
Slade Cecconi,677944
Alek Thomas,677950
Bobby Witt Jr.,677951
Braxton Ashcraft,677952
Jordan Groshans,677954
Jaden Hill,677955
Rece Hinds,677956
Kumar Rocker,677958
Ryan Weathers,677960
Cole Wilcox,677961
Randy Dobnak,677976
Parker Meadows,678009
Nick Schnell,678010
Anthony Seigler,678011
Seth Halvorsen,678020
Jack Perkins,678022
Mike Vasil,678024
Ray Kerr,678061
Luarbert Arias,678215
Ji Hwan Bae,678225
Daysbel Hernandez,678226
Miguel Vargas,678246
Omar Cruz,678316
Valente Bellozo,678368
Jorbit Vivas,678391
Brayan Bello,678394
Jorge Barrosa,678489
Randy Rodriguez,678495
Osleivis Basabe,678545
Curtis Mead,678554
Jose A. Ferrer,678606
Ezequiel Tovar,678662
Ronny Henriquez,678692
Eddys Leonard,678760
Luis Peralta,678821
Jhonkensy Noel,678877
Ceddanne Rafaela,678882
Liover Peguero,678894
Kai-Wei Teng,678906
Johan Rojas,679032
Walter Pennington,679156
Eric Orze,679358
Alec Marsh,679525
Spencer Torkelson,679529
Jose Rodriguez,679563
Terrin Vavra,679631
Kyle Backhus,679775
Justin Foscue,679822
Nick Loftin,679845
J.P. Martinez,679881
Justin Martinez,679885
Evan McKendry,679928
Dairon Blanco,680118
Jackson Wolf,680232
Max Schuemann,680474
Travis Swaggerty,680552
Grayson Rodriguez,680570
Adam Kloffenstein,680572
Simeon Woods Richardson,680573
Matt McLain,680574
DaShawn Keirsey Jr.,680577
Julio Rodriguez,680588
Gunnar Hoglund,680684
Josiah Gray,680686
Lyon Richardson,680689
Kyle Bradish,680694
Brennen Davis,680695
Richie Palacios,680700
Joey Gerber,680702
Nick Sandlin,680704
Cole Roederer,680711
Jonathan Ornelas,680716
Addison Barger,680718
Drew Rom,680723
Adrian Del Castillo,680728
Garrett McDaniels,680729
Mitchell Parker,680730
Sean Burke,680732
Austin Cox,680735
Justin Wrobleski,680736
Michael Helman,680737
Josh Winder,680739
Jonathan Bowlan,680742
Ty Madden,680744
Steven Kwan,680757
Victor Vodnik,680767
CJ Alexander,680769
Jarren Duran,680776
Ryan Jeffers,680777
Henry Davis,680779
Ryan Fitzgerald,680837
Willie MacIver,680862
Zack Gelof,680869
Grant Holman,680880
Spencer Schwellenbach,680885
Jack Neely,680891
Nick Nastrini,680897
Owen Miller,680911
Franco Aleman,680916
Doug Nikhazy,680951
Brendan Donovan,680977
Kelvin Caceres,680983
Christian Scott,681035
Ky Bush,681066
Bryson Stott,681082
Jonah Bride,681146
Jayden Murray,681151
Luis Curvelo,681168
Randy Vasquez,681190
Chase Silseth,681217
Spencer Arrighetti,681293
Colton Cowser,681297
Shane Smith,681343
Mike Burrows,681347
Logan O’Hoppe,681351
Connor Norby,681393
Josh Green,681401
Gus Varland,681402
Luke Little,681432
Brooks Baldwin,681460
Kerry Carpenter,681481
Mickey Gasper,681508
Kyle Leahy,681517
Antoine Kelly,681520
Bryan Lavastida,681526
James Outman,681546
David Villar,681584
Andy Pages,681624
Ryan Fernandez,681676
Heriberto Hernandez,681715
Ethan Roberts,681799
Andrew Wantz,681806
David Fry,681807
Chris Vallimont,681808
Austin Warren,681810
Reese Olson,681857
Cooper Criswell,681867
Shawn Dubin,681869
Erik Sabrowski,681870
Colin Selby,681882
Evan Lee,681885
Kody Funderburk,681892
Alex Vesia,681911
Vinny Capra,681962
Grant Anderson,681982
Nate Eaton,681987
Garrett Hill,682051
Jacob Lopez,682052
David Hensley,682073
Levi Jordan,682119
Tim Herrin,682120
Evan Reifert,682126
Joe Jacques,682175
Daniel Schneemann,682177
Drew Avans,682183
Kody Hoese,682210
Brandon Williamson,682227
Bryce Miller,682243
Mason Montgomery,682254
Wes Clarke,682265
Logan Porter,682515
Roddery Munoz,682610
Diego Cartaya,682616
Marco Luciano,682617
Misael Urbina,682618
Orelvis Martinez,682619
Richard Gallardo,682620
Noelvi Marte,682622
Francisco Alvarez,682626
Alvin Guzman,682630
Kevin Alcantara,682634
Osiel Rodriguez,682640
Luis Matos,682641
Alexander Ramirez,682643
Malcom Nunez,682650
Warming Bernabel,682653
Angel Martinez,682657
Agustin Ramirez,682663
Luisangel Acuna,682668
Jonatan Clase,682729
Eiberson Castellano,682769
Wikelman Gonzalez,682790
Luis Mey,682825
Elly De La Cruz,682829
Abner Uribe,682842
Luis L. Ortiz,682847
Endy Rodriguez,682848
Bryan Ramos,682868
Juan Brito,682877
Ronny Simon,682927
CJ Abrams,682928
Devin Sweet,682967
Daniel Espino,682982
Riley Greene,682985
Spencer Jones,682987
Tyler Locklear,682988
Victor Mederos,682989
Quinn Priester,682990
Tyler Callihan,682997
Corbin Carroll,682998
Gunnar Henderson,683002
Jared Jones,683003
Jack Leiter,683004
Anthony Volpe,683011
Michael Stefanic,683021
Alexander Vargas,683061
Zach Penrod,683068
Nasim Nunez,683083
Matthew Lugo,683090
Brett Baty,683146
Joey Estes,683155
Connor Phillips,683175
Nick Mears,683232
Owen Caissie,683357
Angel Chivilli,683409
Oscar Hernandez,683427
Jairo Iriarte,683568
Edgardo Henriquez,683618
Anthony Molina,683627
Royber Salinas,683690
Andrew Vaughn,683734
Michael Busch,683737
Victor Mesa Jr.,683748
Matt Canterino,683764
Christian Koss,683766
Hunter Gaddis,683769
Will Robertson,683770
Travis Bazzana,683953
Shota Imanaga,684007
Yariel Rodriguez,684320
Craig Yoho,684974
Anthony Veneziano,685107
Austin Kitchen,685116
Brandon Eisert,685126
Wade Meckler,685133
Tanner Gordon,685299
Matt Gorski,685301
Andrew Saalfrank,685314
Misael Tamarez,685377
Kenedy Corona,685744
Hunter Bigge,685801
Sal Frelick,686217
Emmet Sheehan,686218
Drew Millas,686452
Vinnie Pasquantino,686469
Tyler Tolbert,686475
Logan Driscoll,686482
Cam Eden,686490
Dominic Canzone,686527
Andre Lipcius,686531
Oliver Dunn,686554
Isaac Collins,686555
Jonathan Cannon,686563
Justin Slaten,686580
Ken Waldichuk,686610
Dylan Crews,686611
Hunter Brown,686613
Fraser Ellard,686642
Levi Stoudt,686651
Ty Adcock,686654
Brenton Doyle,686668
Korey Lee,686676
Michael Massey,686681
Ryan Bergert,686701
Carson Spiers,686730
Joe La Sorsa,686747
Seth Johnson,686751
Ryan Pepiot,686752
Drey Jameson,686753
Nick Sogard,686765
Pedro Pages,686780
Blake Walston,686796
Brooks Lee,686797
Jack Kochanowicz,686799
Will Brennan,686823
Bryce Jarvis,686826
Colby White,686831
Brendan White,686839
Reggie Crawford,686846
Joey Wiemer,686894
Mason Barnett,686930
Drake Baldwin,686948
Cole Waites,686972
Louis Varland,686973
Justin Sterner,686993
Brandon Young,687064
Eric Yang,687066
Brandon Sproat,687075
Vaughn Grissom,687093
Bradley Blalock,687134
Evan Justice,687145
Zach Maxwell,687209
Dalton Rushing,687221
Darell Hernaiz,687231
Zach Neto,687263
K.C. Hunt,687268
Quinn Mathews,687273
Gabriel Rincones Jr.,687282
Kevin Kelly,687330
Connor Gillispie,687362
Victor Scott II,687363
Orlando Ribalta,687377
Chad Bell,687382
Brent Headrick,687396
Joey Ortiz,687401
Anthony Maldonado,687424
Hudson Head,687431
Spencer Horwitz,687462
Ryan Gusto,687473
Colby Thomas,687515
Grant McCray,687529
Drew Gilbert,687551
Dom Hamel,687589
Jordan Beck,687597
Paxton Schultz,687606
Dylan Beavers,687637
Kaden Polcovich,687659
Jackson Cluff,687714
Mitch Spence,687765
DJ Herz,687792
Nick Robertson,687798
Cade Marlowe,687799
Sawyer Gipson-Long,687830
Marc Church,687847
Troy Johnston,687859
Porter Hodge,687863
Brandon Walter,687888
Bryan King,687911
Easton Lucas,687922
Julian Aguiar,687924
Carson Whisenhunt,687931
Christian Encarnacion-Strand,687952
Dustin Harris,687957
Robert Gasser,688107
Logan Evans,688138
Chris Roycroft,688297
Graham Pauley,688363
Kolton Ingram,688427
Gavin Cross,688457
Zach Agnos,688642
Blaine Crim,688760
Landon Knack,689017
Orion Kerkering,689147
Chad Dallas,689149
Brett Wisely,689172
Jacob Melton,689200
Beau Brieske,689225
Mason Fluharty,689254
Dylan Dodd,689266
Matt Koperniak,689288
Liam Hicks,689414
Drew Thorpe,689672
Alek Jacob,689690
Andrew Walters,689958
River Ryan,689981
Ryan Ritter,690022
Jace Jung,690291
Ben Joyce,690829
Richard Fitts,690916
Braxton Fulford,690924
Clayton Beeter,690925
Hunter Dobbins,690928
Mick Abel,690953
Enrique Bradfield Jr.,690961
Alex Freeland,690976
Dax Fulton,690978
Kyle Harrison,690986
Robert Hassell III,690987
Austin Hendrick,690988
Cade Horton,690990
Colt Keith,690993
Nolan McLean,690997
Tre’ Morgan,691003
Drew Romo,691011
Tyler Soderstrom,691016
Kyle Teel,691019
A.J. Vukovich,691021
Jordan Walker,691023
Masyn Winn,691026
Randy Wynne,691094
Yosver Zulueta,691172
Jasson Dominguez,691176
Emmanuel Rodriguez,691181
Adael Amador,691182
Maximo Acosta,691185
Deyvison De Los Santos,691277
Moises Chace,691330
Jhostynxon Garcia,691373
Junior Caminero,691406
Cristian Mena,691441
Eury Perez,691587
Javier Sanoja,691594
Jeferson Quero,691620
Pete Crow-Armstrong,691718
Kyle Karros,691720
Jared Kelley,691721
Coby Mayo,691723
Andrew Painter,691725
Zac Veen,691728
Max Muncy,691777
Brady House,691781
Jordan Lawlar,691783
Marcelo Mayer,691785
Grant Taylor,691799
Sem Robberse,691828
Jared Serna,691858
Tsung-Che Cheng,691907
Jesus Castillo,691913
George Klassen,691946
Jake Vogel,691949
Sam Aldegheri,691951
C.J. Kayfus,692216
Kristian Campbell,692225
Carlos Rodriguez,692230
Luis Guerrero,692285
Yoniel Curet,692414
Winston Santos,692437
Yanquiel Fernandez,692585
Oscar Colas,693049
Nick Gonzales,693304
Dillon Dingler,693307
Nick Frasso,693308
Burl Carraway,693310
Tink Hence,693311
Kyle Nicolas,693312
Carson Seymour,693313
Bryan Woo,693433
Taylor Dollard,693440
Cam Schlittler,693645
Emiliano Teodo,693713
Bryce Elder,693821
Ian Seymour,693855
Daniel Palencia,694037
Pedro Leon,694175
Jackson Chourio,694192
Moises Ballesteros,694208
Samuel Basallo,694212
Brandon Pfaadt,694297
Matt Svanson,694335
Zach Brzykcy,694350
Tyler Gentry,694355
Ricky Tiedemann,694357
Tekoah Roby,694358
Niko Kavadas,694359
Will Klein,694361
Blake Dunn,694362
Jared Shuster,694363
Tim Tawa,694374
Shay Whitcomb,694376
Nick Yorke,694377
Nolan Schanuel,694384
Brock Wilken,694385
Joey Loperfido,694388
Justice Bigbie,694425
Hurston Waldrep,694462
Chad Patrick,694477
Evan Carter,694497
Sterlin Thompson,694514
Chase Hampton,694633
Chayce McDermott,694646
Wyatt Langford,694671
Brice Matthews,694728
Landen Roupp,694738
Gavin Stone,694813
Jacob Misiorowski,694819
Ryan Murphy,694885
Paul Skenes,694973
Rhett Lowder,695076
Will Wagner,695238
Mason Miller,695243
Billy Cook,695257
Thomas Saggese,695336
Brett Harris,695391
Brad Lord,695418
Chase Burns,695505
Jac Caglianone,695506
Tyler Collins,695514
Chase Petty,695534
Jackson Jobe,695549
James Wood,695578
Colson Montgomery,695657
Harry Ford,695670
Christian Moore,695681
Daylen Lile,695734
Josh Stephan,695776
Wilmer Flores,695865
Alejandro Osuna,696030
Hunter Goodman,696100
Mason Black,696131
Jordan Wicks,696136
Hagen Smith,696146
Sam Bachman,696147
Bubba Chandler,696149
Ryan Johnson,696270
Jacob Young,696285
Joe Rock,697812
Miguel Ullola,699044
Hector Rodriguez,699302
Ivan Melendez,699471
Jimmy Crooks,699625
Troy Taylor,700187
Michael McGreevy,700241
Trey Sweeney,700242
Carson Williams,700246
Cade Povich,700249
Ben Rice,700250
Yilber Diaz,700270
Edgar Quero,700337
AJ Smith-Shawver,700363
Gordon Graceffo,700669
Kyle Manzardo,700932
Logan VanWey,701121
Zach Dezenzo,701305
Jackson Ferris,701328
Roman Anthony,701350
Cam Smith,701358
Sal Stewart,701398
Pierson Ohl,701487
Jackson Merrill,701538
Will Warren,701542
David Festa,701581
Grant Hartwig,701643
James Triantos,701649
Logan Henderson,701656
Nathan Church,701675
Hao-Yu Lee,701678
Nick Kurtz,701762
Justin Armbruester,701859
Will Dion,702021
Noah Cameron,702070
Alan Roden,702176
Andrew Morris,702193
Justin Crawford,702222
Druw Jones,702258
Noah Schultz,702273
Robby Snelling,702281
Cole Young,702284
RJ Schreck,702302
Caleb Durbin,702332
Haydn McGeary,702333
Spencer Bivens,702352
Trey Lipscomb,702358
Jimmy Joyce,702460
Jett Williams,702518
Jackson Holliday,702616
Caden Dana,702674
Ryan Loutos,702795
Lazaro Montes,703155
Jarlin Susana,703186
Parker Messick,800048
Adam Mazur,800049
Chase DeLauter,800050
Didier Fuentes,800311
Payton Tolle,801139
Chase Dollander,801403
J.J. Wetherholt,802139
Drue Hackenberg,802357
Chandler Simpson,802415
Thomas Harrington,802419
Reid VanScoter,804577
Jonah Tong,804636
AJ Blubaugh,805123
Otto Kemp,805249
Jakob Marsee,805300
Chase Meidroth,805367
Nacho Alvarez Jr.,805373
Zebby Matthews,805673
Jacob Wilson,805779
Walker Jenkins,805805
Bryce Eldridge,805811
Zach Cole,805904
Hayden Birdsong,806185
Cooper Pratt,806198
Ethan Salas,806956
Luis Morales,806960
Sebastian Walcott,806964
Luke Keaschall,807712
Matt Shaw,807713
Masataka Yoshida,807799
Roki Sasaki,808963
Yoshinobu Yamamoto,808967
Woo-Suk Go,808970
Hyeseong Kim,808975
Jung Hoo Lee,808982
Charlie Condon,809707
Ben Williamson,810938
Connelly Early,813349
Jake Bloss,814005
Leodalis De Vries,815888
Jesus Made,815908
Payton Eeles,823356
Shinnosuke Ogasawara,829272
Koyo Aoyagi,829460
